layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.6,0.254951,0.75,0.158114,2.678168,4.744512,0.095348,12.0033
1,0.0159,False,0.8,0.1,0.8,0.187083,5.931788,1.991882,0.067778,13.8127
2,0.0317,False,0.75,0.158114,0.85,0.122474,4.144591,2.266478,-0.030051,12.1637
3,0.0476,False,0.75,0.273861,0.9,0.122474,4.835291,3.525048,0.083763,19.4423
4,0.0635,False,0.7,0.187083,1.0,0.0,5.284368,6.833291,0.121954,20.7176
5,0.0794,False,0.75,0.158114,1.0,0.0,5.475436,7.505946,0.140606,22.7154
6,0.0952,False,0.75,0.158114,1.0,0.0,4.72497,6.804723,0.139498,23.4943
7,0.1111,False,0.9,0.122474,1.0,0.0,5.026717,6.735434,0.131836,27.9313
8,0.127,False,0.95,0.1,1.0,0.0,7.328052,7.800747,0.217064,31.6301
9,0.1429,False,1.0,0.0,1.0,0.0,8.201214,9.477683,0.264913,34.1942
10,0.1587,False,1.0,0.0,1.0,0.0,8.146405,8.941723,0.316552,35.2419
11,0.1746,False,1.0,0.0,1.0,0.0,9.688773,8.661391,0.332621,40.9737
12,0.1905,False,1.0,0.0,1.0,0.0,9.843347,9.407363,0.382388,43.7077
13,0.2063,False,1.0,0.0,1.0,0.0,10.629649,9.875237,0.407436,45.5426
14,0.2222,False,1.0,0.0,1.0,0.0,9.982709,10.152871,0.445528,46.6983
15,0.2381,False,1.0,0.0,1.0,0.0,10.023816,10.908286,0.451178,50.4046
16,0.254,False,1.0,0.0,1.0,0.0,10.001307,11.17861,0.486673,52.3248
17,0.2698,False,1.0,0.0,1.0,0.0,11.497851,11.618631,0.480315,52.7806
18,0.2857,False,1.0,0.0,1.0,0.0,11.222332,10.737206,0.484778,52.8739
19,0.3016,False,1.0,0.0,1.0,0.0,11.650183,11.285242,0.485943,50.2134
20,0.3175,False,1.0,0.0,1.0,0.0,10.598363,10.671819,0.482774,46.77
21,0.3333,False,1.0,0.0,1.0,0.0,10.613868,10.404023,0.463226,49.4216
22,0.3492,False,1.0,0.0,1.0,0.0,10.254169,10.131073,0.456294,53.6533
23,0.3651,False,1.0,0.0,1.0,0.0,10.718312,10.36032,0.461138,54.3143
24,0.381,False,1.0,0.0,1.0,0.0,10.784398,10.57991,0.457937,53.5882
25,0.3968,False,1.0,0.0,1.0,0.0,11.702717,10.33515,0.455501,55.9218
26,0.4127,False,1.0,0.0,1.0,0.0,11.170106,9.75448,0.476504,57.9224
27,0.4286,False,1.0,0.0,1.0,0.0,12.296077,9.765628,0.494117,59.7268
28,0.4444,False,1.0,0.0,1.0,0.0,12.487637,9.646358,0.514522,56.8491
29,0.4603,False,1.0,0.0,1.0,0.0,11.97628,9.387424,0.502228,58.4201
30,0.4762,False,1.0,0.0,1.0,0.0,10.694596,9.779158,0.537294,60.6265
