layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm
0,0.0,False,0.9,0.031623,0.94,0.04899,3.544332,3.559528,0.133722,0.681
1,0.0256,False,0.91,0.05831,0.97,0.024495,4.05448,4.317631,0.233736,0.8406
2,0.0513,False,0.89,0.037417,0.99,0.02,3.685216,4.659475,0.331559,1.1285
3,0.0769,False,0.9,0.031623,0.99,0.02,3.884604,5.076727,0.357468,1.1203
4,0.1026,False,0.9,0.031623,1.0,0.0,3.939793,5.400592,0.383721,1.1868
5,0.1282,False,0.95,0.031623,0.99,0.02,4.258357,5.727819,0.408318,1.283
6,0.1538,False,0.97,0.04,0.99,0.02,4.77829,6.207304,0.458479,1.4082
7,0.1795,False,0.99,0.02,1.0,0.0,5.655022,7.497419,0.478138,1.2725
8,0.2051,False,1.0,0.0,1.0,0.0,6.180434,8.057562,0.498844,1.3229
9,0.2308,False,1.0,0.0,1.0,0.0,5.929145,7.504076,0.502583,1.4932
10,0.2564,False,1.0,0.0,1.0,0.0,5.948166,7.662656,0.525908,1.7994
11,0.2821,False,1.0,0.0,1.0,0.0,6.48589,8.484435,0.540143,1.727
12,0.3077,False,1.0,0.0,1.0,0.0,6.796797,8.734275,0.540332,1.6099
13,0.3333,False,1.0,0.0,1.0,0.0,7.782432,9.272402,0.532306,1.7655
14,0.359,False,1.0,0.0,1.0,0.0,7.044785,8.625501,0.529336,2.3522
15,0.3846,False,1.0,0.0,1.0,0.0,7.020086,8.870666,0.541408,2.1397
16,0.4103,False,1.0,0.0,1.0,0.0,7.493653,9.375672,0.553163,2.1745
17,0.4359,False,1.0,0.0,1.0,0.0,8.103859,9.258902,0.572046,2.0293
18,0.4615,False,1.0,0.0,1.0,0.0,8.214252,8.370718,0.562482,2.4594
19,0.4872,False,1.0,0.0,1.0,0.0,8.292527,8.515894,0.549868,2.4546
20,0.5128,False,1.0,0.0,1.0,0.0,8.121729,8.214311,0.556709,2.4623
21,0.5385,False,1.0,0.0,1.0,0.0,7.820187,8.434544,0.552115,2.5374
22,0.5641,False,1.0,0.0,1.0,0.0,7.617123,8.315392,0.561704,3.0232
23,0.5897,False,1.0,0.0,1.0,0.0,7.832454,8.917357,0.563095,2.75
24,0.6154,False,1.0,0.0,1.0,0.0,7.845162,9.310508,0.570729,2.6585
25,0.641,False,1.0,0.0,1.0,0.0,8.278584,8.805755,0.571807,2.9284
26,0.6667,True,1.0,0.0,1.0,0.0,6.309371,7.349901,0.61918,3.5556
27,0.6923,False,1.0,0.0,1.0,0.0,7.317933,8.378482,0.583231,3.563
28,0.7179,False,1.0,0.0,1.0,0.0,6.454988,7.313145,0.604548,3.6179
29,0.7436,False,1.0,0.0,1.0,0.0,6.046702,7.021745,0.5945,3.6667
30,0.7692,False,1.0,0.0,1.0,0.0,5.670468,6.82937,0.59829,4.3459
31,0.7949,False,1.0,0.0,1.0,0.0,5.83698,7.088881,0.56829,4.105
32,0.8205,False,1.0,0.0,1.0,0.0,5.61309,7.2075,0.553563,4.3578
33,0.8462,False,1.0,0.0,1.0,0.0,5.484107,7.378006,0.550543,5.2091
34,0.8718,False,1.0,0.0,1.0,0.0,5.289826,7.392959,0.53818,6.004
35,0.8974,False,1.0,0.0,1.0,0.0,6.003898,7.667453,0.487774,6.2029
36,0.9231,False,1.0,0.0,1.0,0.0,5.8891,7.325358,0.474213,6.6705
37,0.9487,False,1.0,0.0,1.0,0.0,5.962301,7.278729,0.465698,8.1719
38,0.9744,False,1.0,0.0,1.0,0.0,6.057157,7.456372,0.446377,10.5263
39,1.0,False,1.0,0.0,1.0,0.0,5.565404,6.796184,0.435212,84.3493
