layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
0,0.0,False,0.82,0.06,0.96,0.037417,1.639421,3.071436,0.09793,35.0556,0.69,0.086023,0.91,0.037417,0.55,0.1,0.52,0.067823,1.3691480159759521,3.3515501022338867,2.505995988845825,3.9739139080047607,-0.07458200305700302,0.25857600569725037
1,0.0213,False,0.83,0.08124,0.98,0.024495,2.129035,2.754805,-0.101644,42.9696,0.75,0.063246,0.91,0.04899,0.43,0.05099,0.48,0.024495,1.9330860376358032,2.776139974594116,2.387281894683838,3.4814419746398926,-0.24857500195503235,0.08324400335550308
2,0.0426,False,0.85,0.094868,0.96,0.02,2.263395,2.937854,0.136229,74.823,0.81,0.073485,0.89,0.05831,0.61,0.037417,0.51,0.02,2.0620648860931396,3.0256268978118896,2.5501489639282227,3.7459959983825684,-0.020191999152302742,0.2666960060596466
3,0.0638,False,0.84,0.066332,0.96,0.02,2.657562,3.203,0.131151,62.4504,0.84,0.066332,0.93,0.04,0.61,0.037417,0.52,0.024495,2.375152111053467,3.595367908477783,2.7371981143951416,4.175640106201172,-0.0036589999217540026,0.2307019978761673
4,0.0851,False,0.86,0.106771,0.96,0.02,2.455583,3.298016,0.259423,31.6239,0.75,0.070711,0.94,0.073485,0.62,0.12083,0.53,0.024495,2.366250991821289,3.23989200592041,2.8244988918304443,4.283443927764893,0.10809999704360962,0.3389880061149597
5,0.1064,False,0.89,0.073485,0.9,0.031623,2.399722,2.811051,0.137995,40.878,0.75,0.044721,0.87,0.04,0.63,0.12083,0.53,0.024495,2.020595073699951,3.3099520206451416,2.5354809761047363,3.6514339447021484,-0.020945999771356583,0.24345000088214874
6,0.1277,False,0.88,0.08124,0.93,0.024495,2.122103,2.758939,0.173975,41.8341,0.76,0.086023,0.85,0.044721,0.63,0.074833,0.52,0.024495,1.8237799406051636,3.203658103942871,2.542638063430786,3.552079916000366,-0.0003440000000409782,0.2789529860019684
7,0.1489,False,0.82,0.087178,0.91,0.037417,2.635865,2.959096,0.156827,30.3905,0.78,0.067823,0.88,0.05099,0.64,0.05831,0.53,0.074833,2.231961965560913,3.6924030780792236,2.727566957473755,3.794502019882202,-0.027651000767946243,0.2688480019569397
8,0.1702,False,0.91,0.037417,0.93,0.024495,2.760615,3.385883,0.129558,62.7939,0.8,0.044721,0.95,0.031623,0.6,0.031623,0.53,0.024495,2.417006015777588,3.628145933151245,2.9902091026306152,4.289595127105713,-0.01867399923503399,0.23914699256420135
9,0.1915,False,0.85,0.054772,0.96,0.037417,2.628008,3.286627,0.194009,36.7148,0.81,0.037417,0.92,0.04,0.68,0.11225,0.55,0.031623,2.3642020225524902,3.569118022918701,2.9824399948120117,4.13033390045166,0.017966000363230705,0.31402599811553955
