layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
0,0.0,False,0.8,0.070711,0.94,0.037417,1.605534,2.350317,-0.187761,67.3509,0.69,0.037417,0.86,0.066332,0.35,0.083666,0.53,0.04,1.3682520389556885,2.77478289604187,2.0244970321655273,2.9553298950195312,-0.3980189859867096,0.12684699892997742
1,0.0345,False,0.93,0.05099,0.97,0.04,1.65547,2.530534,-0.11367,61.6831,0.73,0.04,0.87,0.06,0.4,0.1,0.47,0.05099,1.5117249488830566,2.724112033843994,2.356360912322998,3.0254170894622803,-0.29110899567604065,0.15074099600315094
2,0.069,False,0.97,0.04,0.99,0.02,3.876164,3.464476,0.150262,50.9805,0.94,0.05831,0.95,0.054772,0.69,0.159374,0.59,0.08,3.074876070022583,4.928887844085693,3.1893439292907715,4.254367828369141,-0.004972999915480614,0.2818489968776703
3,0.1034,False,0.97,0.024495,1.0,0.0,4.046877,4.110452,0.319164,63.1746,0.96,0.037417,0.96,0.037417,0.89,0.066332,0.62,0.102956,3.216386079788208,5.110118865966797,3.745651960372925,5.073579788208008,0.16068799793720245,0.4259360134601593
4,0.1379,False,0.98,0.024495,1.0,0.0,4.442698,4.7024,0.416807,65.0203,0.96,0.037417,0.98,0.024495,0.93,0.05099,0.66,0.086023,3.678952932357788,5.6039299964904785,4.285707950592041,5.6947832107543945,0.2848550081253052,0.48530200123786926
5,0.1724,False,0.98,0.024495,1.0,0.0,4.213203,4.647438,0.438661,83.3801,0.95,0.031623,0.98,0.024495,0.91,0.037417,0.65,0.104881,3.398608922958374,5.4094319343566895,4.111515998840332,5.769437789916992,0.32140201330184937,0.4956969916820526
6,0.2069,False,0.98,0.04,1.0,0.0,4.931577,4.967047,0.525977,87.8528,0.98,0.024495,1.0,0.0,0.9,0.031623,0.61,0.073485,3.853238105773926,6.308864116668701,4.3804521560668945,6.0927300453186035,0.41947799921035767,0.56803297996521
7,0.2414,False,0.99,0.02,1.0,0.0,4.600585,5.963927,0.645714,91.4572,0.97,0.06,1.0,0.0,0.95,0.031623,0.63,0.074833,3.696208953857422,6.02669620513916,5.240179061889648,7.350056171417236,0.5627599954605103,0.6619729995727539
8,0.2759,False,1.0,0.0,1.0,0.0,5.04856,6.736058,0.670125,96.8807,0.99,0.02,1.0,0.0,0.91,0.073485,0.66,0.066332,4.115311145782471,6.592979907989502,5.861577987670898,8.245911598205566,0.5937790274620056,0.6855890154838562
9,0.3103,False,1.0,0.0,1.0,0.0,5.627065,6.879961,0.688426,120.6779,1.0,0.0,1.0,0.0,0.89,0.086023,0.85,0.054772,4.750247955322266,6.9754319190979,5.933132171630859,8.434008598327637,0.624002993106842,0.6997799873352051
