layer,frac,is_probe_layer,warmth_topic_cv,warmth_topic_cv_std,comp_topic_cv,comp_topic_cv_std,warmth_cohens_d,comp_cohens_d,cos_wc,mean_resid_norm,warmth_direction_topic_cv,warmth_direction_topic_cv_std,comp_direction_topic_cv,comp_direction_topic_cv_std,warmth_to_comp_topic_transfer,warmth_to_comp_topic_transfer_std,comp_to_warmth_topic_transfer,comp_to_warmth_topic_transfer_std,warmth_cohens_d_ci_low,warmth_cohens_d_ci_high,comp_cohens_d_ci_low,comp_cohens_d_ci_high,cos_wc_ci_low,cos_wc_ci_high
0,0.0,False,0.84,0.04899,0.95,0.044721,1.433134,2.263504,-0.182965,58.8728,0.66,0.037417,0.83,0.05099,0.4,0.044721,0.51,0.037417,1.2860150337219238,2.9756360054016113,2.0380399227142334,2.875606060028076,-0.38788700103759766,0.13084900379180908
1,0.0169,False,0.87,0.04,0.97,0.04,3.153222,3.077186,0.071,74.1397,0.83,0.024495,0.9,0.070711,0.56,0.188149,0.54,0.073485,2.6529901027679443,3.9778120517730713,2.8250479698181152,3.8112270832061768,-0.10407499969005585,0.2408059984445572
2,0.0339,False,0.9,0.031623,0.97,0.04,3.274611,3.138502,0.096399,80.3018,0.84,0.037417,0.91,0.066332,0.6,0.181659,0.54,0.073485,2.7242519855499268,4.091349124908447,2.8907220363616943,3.8719980716705322,-0.07505600154399872,0.25832900404930115
3,0.0508,False,0.91,0.05831,0.97,0.04,3.350172,3.189405,0.128507,99.3139,0.85,0.063246,0.92,0.067823,0.63,0.186011,0.55,0.083666,2.766321897506714,4.158414840698242,2.941232919692993,3.941066026687622,-0.047724999487400055,0.2773819863796234
4,0.0678,False,0.93,0.06,0.98,0.024495,3.727993,3.423906,0.189051,103.4866,0.88,0.024495,0.95,0.031623,0.7,0.141421,0.54,0.073485,3.042570114135742,4.569507122039795,3.1499199867248535,4.255874156951904,0.01978199928998947,0.31080400943756104
5,0.0847,False,0.95,0.044721,1.0,0.0,4.040205,3.837564,0.293803,154.1401,0.9,0.083666,0.97,0.024495,0.89,0.066332,0.64,0.086023,3.3817689418792725,5.080301761627197,3.5384340286254883,4.7185869216918945,0.1371529996395111,0.3856000006198883
6,0.1017,False,0.96,0.037417,1.0,0.0,4.178351,4.193401,0.339589,187.3207,0.93,0.06,0.97,0.024495,0.91,0.05831,0.64,0.05831,3.6013851165771484,5.239147186279297,3.8783459663391113,5.158991813659668,0.1985439956188202,0.4143179953098297
7,0.1186,False,0.94,0.073485,1.0,0.0,4.032406,4.890724,0.416358,219.5352,0.95,0.044721,0.98,0.024495,0.92,0.05099,0.65,0.083666,3.5541861057281494,5.071535110473633,4.446821212768555,5.998010158538818,0.28705400228500366,0.4697340130805969
8,0.1356,False,0.94,0.04899,1.0,0.0,3.352165,4.585975,0.387557,235.3105,0.92,0.024495,0.99,0.02,0.88,0.074833,0.66,0.05831,2.945319890975952,4.425387859344482,4.114863872528076,5.661208152770996,0.25977200269699097,0.44860801100730896
9,0.1525,False,0.93,0.067823,0.99,0.02,2.431936,4.691675,0.336403,257.2892,0.84,0.04899,0.99,0.02,0.73,0.06,0.64,0.08,2.1368680000305176,3.3887269496917725,4.099948883056641,5.768648147583008,0.1979690045118332,0.4138930141925812
10,0.1695,False,0.91,0.05831,0.99,0.02,2.292127,4.80175,0.389865,276.031,0.82,0.05099,0.99,0.02,0.75,0.063246,0.67,0.067823,2.0322299003601074,3.250494956970215,4.076276779174805,5.966524124145508,0.2551470100879669,0.46717700362205505
11,0.1864,False,0.92,0.04,0.99,0.02,2.153257,4.168018,0.398653,289.4844,0.8,0.070711,0.98,0.024495,0.76,0.05831,0.68,0.08124,1.971560001373291,2.8345160484313965,3.47080397605896,5.278202056884766,0.258217990398407,0.4717960059642792
12,0.2034,False,0.94,0.02,0.99,0.02,2.147444,4.708839,0.286129,296.8776,0.82,0.06,0.99,0.02,0.69,0.037417,0.59,0.04899,1.9056730270385742,3.2066760063171387,4.1367998123168945,5.605130195617676,0.13683800399303436,0.38524600863456726
13,0.2203,False,0.94,0.02,0.99,0.02,2.436502,4.88915,0.318659,304.4065,0.81,0.08,0.99,0.02,0.74,0.066332,0.6,0.044721,2.0535058975219727,3.6841189861297607,4.376924991607666,5.822137832641602,0.17833800613880157,0.4033760130405426
14,0.2373,False,0.95,0.031623,1.0,0.0,2.427026,5.141103,0.329412,310.6406,0.83,0.06,0.99,0.02,0.77,0.074833,0.6,0.031623,2.0815539360046387,3.652872085571289,4.613671779632568,6.076600074768066,0.18022799491882324,0.4175029993057251
15,0.2542,False,0.96,0.037417,0.99,0.02,2.550609,5.370236,0.389099,344.3186,0.84,0.05831,0.99,0.02,0.82,0.12083,0.6,0.044721,2.0588300228118896,4.0913238525390625,4.833456039428711,6.336708068847656,0.22335800528526306,0.48074600100517273
16,0.2712,False,0.99,0.02,1.0,0.0,3.556952,5.724774,0.433736,353.6176,0.92,0.06,0.99,0.02,0.89,0.037417,0.61,0.037417,2.743316888809204,5.132522106170654,5.177521228790283,6.75230598449707,0.29385700821876526,0.5007290244102478
