mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10
baseline,warmth,high_low_margin_gap,,25.925,25.51859375,26.3,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,23.6375,23.1375,24.0625,20,10
steering,competence,random,-0.1,0.83125,0.23734375000000027,1.44375,20,10
steering,competence,random,-0.05,1.26875,0.95625,1.6125,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.05,-1.45625,-1.675,-1.25,20,10
steering,competence,random,0.1,-3.3625,-4.0,-2.75625,20,10
steering,competence,raw_dense,-0.1,-1.58125,-2.1126562499999997,-1.0123437500000008,20,10
steering,competence,raw_dense,-0.05,-0.5875,-0.74375,-0.43125,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.05,0.25,0.0625,0.475,20,10
steering,competence,raw_dense,0.1,0.2125,-0.075,0.525,20,10
steering,warmth,random,-0.1,-0.34375,-0.7750781249999998,0.084375,20,10
steering,warmth,random,-0.05,-1.43125,-1.7625,-1.109375,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.05,-0.025,-0.190625,0.15945312499999956,20,10
steering,warmth,random,0.1,0.60625,0.315625,0.8938281249999996,20,10
steering,warmth,raw_dense,-0.1,-1.51875,-1.725,-1.31875,20,10
steering,warmth,raw_dense,-0.05,-0.84375,-0.990625,-0.725,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.05,0.5125,0.45625,0.559375,20,10
steering,warmth,raw_dense,0.1,1.025,0.7625,1.278125,20,10
