mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10,warmth,,accuracy,,denoised
baseline,warmth,high_low_margin_gap,,40.31080322265625,39.689844665527346,40.91621398925781,20,10,warmth,,high_low_margin_gap,,denoised
baseline,competence,accuracy,,1.0,1.0,1.0,20,10,competence,,accuracy,,denoised
baseline,competence,high_low_margin_gap,,38.65859375,38.310078125,38.99375,20,10,competence,,high_low_margin_gap,,denoised
steering,competence,competence,-0.1,-1.335546875,-1.4349658203125,-1.2308300781250003,20,10,competence,competence,target,,denoised
steering,competence,competence,-0.05,-0.9015625,-0.976962890625,-0.8208984375,20,10,competence,competence,target,,denoised
steering,competence,competence,0.0,0.0,0.0,0.0,20,10,competence,competence,target,,denoised
steering,competence,competence,0.05,1.16865234375,1.06962158203125,1.2689453125,20,10,competence,competence,target,,denoised
steering,competence,competence,0.1,2.71829833984375,2.645443115234375,2.79526611328125,20,10,competence,competence,target,,denoised
steering,competence,random_000,-0.1,-3.0557861328125,-3.8458563232421876,-2.3313983154296887,20,10,competence,,random,000,denoised
steering,competence,random_000,-0.05,-5.107614135742187,-5.408624877929688,-4.791999893188477,20,10,competence,,random,000,denoised
steering,competence,random_000,0.0,0.0,0.0,0.0,20,10,competence,,random,000,denoised
steering,competence,random_000,0.05,1.576953125,1.3327001953125002,1.8203564453124998,20,10,competence,,random,000,denoised
steering,competence,random_000,0.1,3.45859375,3.0861181640625,3.8303076171874997,20,10,competence,,random,000,denoised
steering,competence,random_001,-0.1,-1.083203125,-1.9971752929687498,-0.30690917968750014,20,10,competence,,random,001,denoised
steering,competence,random_001,-0.05,-12.3490234375,-12.670703125,-12.026533203125,20,10,competence,,random,001,denoised
steering,competence,random_001,0.0,0.0,0.0,0.0,20,10,competence,,random,001,denoised
steering,competence,random_001,0.05,-2.4732421875,-2.77745849609375,-2.21737060546875,20,10,competence,,random,001,denoised
steering,competence,random_001,0.1,-10.8701171875,-11.5213330078125,-10.2614208984375,20,10,competence,,random,001,denoised
steering,competence,random_002,-0.1,-5.744921875,-6.222705078125,-5.3560498046875,20,10,competence,,random,002,denoised
steering,competence,random_002,-0.05,-4.944921875,-5.3921875,-4.443291015625,20,10,competence,,random,002,denoised
steering,competence,random_002,0.0,0.0,0.0,0.0,20,10,competence,,random,002,denoised
steering,competence,random_002,0.05,-10.135546875,-10.587861328125,-9.718276367187501,20,10,competence,,random,002,denoised
steering,competence,random_002,0.1,0.4306640625,-0.1361865234374999,1.0506347656249997,20,10,competence,,random,002,denoised
steering,competence,random_003,-0.1,-5.523828125,-6.2082080078125,-4.8405566406250005,20,10,competence,,random,003,denoised
steering,competence,random_003,-0.05,3.90625,3.36556640625,4.3627001953125,20,10,competence,,random,003,denoised
steering,competence,random_003,0.0,0.0,0.0,0.0,20,10,competence,,random,003,denoised
steering,competence,random_003,0.05,2.236328125,1.89703125,2.5841943359374997,20,10,competence,,random,003,denoised
steering,competence,random_003,0.1,4.273828125,3.6587158203125,4.886020507812499,20,10,competence,,random,003,denoised
steering,competence,random_004,-0.1,3.061328125,2.45427734375,3.57734375,20,10,competence,,random,004,denoised
steering,competence,random_004,-0.05,-3.0460693359375,-3.3187335205078123,-2.708566284179687,20,10,competence,,random,004,denoised
steering,competence,random_004,0.0,0.0,0.0,0.0,20,10,competence,,random,004,denoised
steering,competence,random_004,0.05,-2.856640625,-3.1941845703125002,-2.5091748046875,20,10,competence,,random,004,denoised
steering,competence,random_004,0.1,-4.069953918457031,-5.097948799133301,-3.031640625,20,10,competence,,random,004,denoised
steering,competence,random_005,-0.1,-5.007421875,-5.385830078125,-4.6696923828125,20,10,competence,,random,005,denoised
steering,competence,random_005,-0.05,-5.391796875,-5.731884765625,-5.0870654296875,20,10,competence,,random,005,denoised
steering,competence,random_005,0.0,0.0,0.0,0.0,20,10,competence,,random,005,denoised
steering,competence,random_005,0.05,4.1890625,3.6781152343750003,4.704140624999999,20,10,competence,,random,005,denoised
