mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10,warmth,,accuracy,,raw
baseline,warmth,high_low_margin_gap,,40.31080322265625,39.689844665527346,40.91621398925781,20,10,warmth,,high_low_margin_gap,,raw
baseline,competence,accuracy,,1.0,1.0,1.0,20,10,competence,,accuracy,,raw
baseline,competence,high_low_margin_gap,,38.65859375,38.310078125,38.99375,20,10,competence,,high_low_margin_gap,,raw
steering,competence,competence,-0.1,-1.241015625,-1.3083984375,-1.15625,20,10,competence,competence,target,,raw
steering,competence,competence,-0.05,-0.812890625,-0.8615283203125,-0.7644482421875,20,10,competence,competence,target,,raw
steering,competence,competence,0.0,0.0,0.0,0.0,20,10,competence,competence,target,,raw
steering,competence,competence,0.05,1.13916015625,1.054979248046875,1.221337890625,20,10,competence,competence,target,,raw
steering,competence,competence,0.1,2.5446533203125,2.4369549560546875,2.6568005371093752,20,10,competence,competence,target,,raw
steering,competence,random_000,-0.1,-3.12109375,-3.842100830078125,-2.4071618652343747,20,10,competence,,random,000,raw
steering,competence,random_000,-0.05,-5.109423828125,-5.42548828125,-4.832371826171875,20,10,competence,,random,000,raw
steering,competence,random_000,0.0,0.0,0.0,0.0,20,10,competence,,random,000,raw
steering,competence,random_000,0.05,1.576953125,1.325,1.8146874999999998,20,10,competence,,random,000,raw
steering,competence,random_000,0.1,3.506640625,3.08298828125,3.941640625,20,10,competence,,random,000,raw
steering,competence,random_001,-0.1,-1.13583984375,-2.010078125,-0.38374023437500027,20,10,competence,,random,001,raw
steering,competence,random_001,-0.05,-12.36748046875,-12.714853515625,-12.00751708984375,20,10,competence,,random,001,raw
steering,competence,random_001,0.0,0.0,0.0,0.0,20,10,competence,,random,001,raw
steering,competence,random_001,0.05,-2.458740234375,-2.7322875976562497,-2.2332019042968754,20,10,competence,,random,001,raw
steering,competence,random_001,0.1,-10.79609375,-11.3961083984375,-10.22126953125,20,10,competence,,random,001,raw
steering,competence,random_002,-0.1,-5.748828125,-6.2777490234375,-5.3349414062500005,20,10,competence,,random,002,raw
steering,competence,random_002,-0.05,-4.963671875,-5.4022216796875,-4.4630859375,20,10,competence,,random,002,raw
steering,competence,random_002,0.0,0.0,0.0,0.0,20,10,competence,,random,002,raw
steering,competence,random_002,0.05,-10.162109375,-10.5802001953125,-9.762480468749999,20,10,competence,,random,002,raw
steering,competence,random_002,0.1,0.44765625,-0.13911132812499993,1.0722070312499992,20,10,competence,,random,002,raw
steering,competence,random_003,-0.1,-5.463671875,-6.1162646484375,-4.7908056640625,20,10,competence,,random,003,raw
steering,competence,random_003,-0.05,3.987890625,3.4028759765625,4.49009765625,20,10,competence,,random,003,raw
steering,competence,random_003,0.0,0.0,0.0,0.0,20,10,competence,,random,003,raw
steering,competence,random_003,0.05,2.173828125,1.8554296875,2.4906396484375,20,10,competence,,random,003,raw
steering,competence,random_003,0.1,4.276953125,3.7292675781250004,4.8205078125,20,10,competence,,random,003,raw
steering,competence,random_004,-0.1,2.978515625,2.3477392578125,3.5148486328125,20,10,competence,,random,004,raw
steering,competence,random_004,-0.05,-3.0341796875,-3.31271484375,-2.713388671875,20,10,competence,,random,004,raw
steering,competence,random_004,0.0,0.0,0.0,0.0,20,10,competence,,random,004,raw
steering,competence,random_004,0.05,-2.859765625,-3.16681640625,-2.5466748046875,20,10,competence,,random,004,raw
steering,competence,random_004,0.1,-4.17117919921875,-5.238627624511719,-3.094282531738281,20,10,competence,,random,004,raw
steering,competence,random_005,-0.1,-5.099609375,-5.4412255859375005,-4.7890380859375,20,10,competence,,random,005,raw
steering,competence,random_005,-0.05,-5.448046875,-5.78478515625,-5.149790039062499,20,10,competence,,random,005,raw
steering,competence,random_005,0.0,0.0,0.0,0.0,20,10,competence,,random,005,raw
steering,competence,random_005,0.05,4.16875,3.6757568359375,4.698525390624999,20,10,competence,,random,005,raw
steering,competence,random_005,0.1,2.27373046875,1.9014624023437499,2.6908178710937496,20,10,competence,,random,005,raw
steering,competence,random_006,-0.1,-3.669091796875,-4.334000244140625,-3.117197265625,20,10,competence,,random,006,raw
steering,competence,random_006,-0.05,-3.858709716796875,-4.13654541015625,-3.603127136230469,20,10,competence,,random,006,raw
steering,competence,random_006,0.0,0.0,0.0,0.0,20,10,competence,,random,006,raw
steering,competence,random_006,0.05,-10.826953125,-11.391435546875,-10.20634765625,20,10,competence,,random,006,raw
steering,competence,random_006,0.1,-2.898046875,-3.3609912109374998,-2.4810302734375,20,10,competence,,random,006,raw
steering,competence,random_007,-0.1,2.916949462890625,1.9404885864257817,3.66272216796875,20,10,competence,,random,007,raw
steering,competence,random_007,-0.05,7.1607421875,6.5057421875,7.789570312499999,20,10,competence,,random,007,raw
steering,competence,random_007,0.0,0.0,0.0,0.0,20,10,competence,,random,007,raw
steering,competence,random_007,0.05,0.504833984375,0.05085205078125005,0.862998046875,20,10,competence,,random,007,raw
steering,competence,random_007,0.1,-0.491796875,-0.9188720703124997,0.008559570312499121,20,10,competence,,random,007,raw
steering,competence,random_008,-0.1,-3.181884765625,-3.601677551269531,-2.7854292297363283,20,10,competence,,random,008,raw
steering,competence,random_008,-0.05,-0.6102783203125,-0.8675787353515625,-0.34652770996093757,20,10,competence,,random,008,raw
steering,competence,random_008,0.0,0.0,0.0,0.0,20,10,competence,,random,008,raw
steering,competence,random_008,0.05,-4.76796875,-5.1193017578125,-4.378220214843751,20,10,competence,,random,008,raw
steering,competence,random_008,0.1,4.478515625,3.2796728515625,5.60412109375,20,10,competence,,random,008,raw
steering,competence,random_009,-0.1,-5.8796875,-6.4010498046875,-5.355439453125001,20,10,competence,,random,009,raw
steering,competence,random_009,-0.05,-1.9015625,-2.3430078125,-1.47556640625,20,10,competence,,random,009,raw
steering,competence,random_009,0.0,0.0,0.0,0.0,20,10,competence,,random,009,raw
steering,competence,random_009,0.05,-5.323046875,-5.558818359375,-5.0950244140625,20,10,competence,,random,009,raw
steering,competence,random_009,0.1,-12.590771484375,-13.139281005859376,-12.1232861328125,20,10,competence,,random,009,raw
steering,competence,random_010,-0.1,-4.20428466796875,-4.523497009277344,-3.8906033325195315,20,10,competence,,random,010,raw
steering,competence,random_010,-0.05,-4.758349609375,-5.161700439453125,-4.408922119140625,20,10,competence,,random,010,raw
steering,competence,random_010,0.0,0.0,0.0,0.0,20,10,competence,,random,010,raw
steering,competence,random_010,0.05,-3.982080078125,-4.422305908203125,-3.5854724121093753,20,10,competence,,random,010,raw
steering,competence,random_010,0.1,-6.0060546875,-6.485878906249999,-5.655742187500001,20,10,competence,,random,010,raw
steering,competence,random_011,-0.1,1.226953125,0.7241650390625001,1.6520605468749994,20,10,competence,,random,011,raw
steering,competence,random_011,-0.05,2.197265625,1.7306494140625002,2.643203125,20,10,competence,,random,011,raw
steering,competence,random_011,0.0,0.0,0.0,0.0,20,10,competence,,random,011,raw
steering,competence,random_011,0.05,-1.750390625,-2.2191845703125,-1.24275390625,20,10,competence,,random,011,raw
steering,competence,random_011,0.1,-8.237109375,-9.088291015625,-7.421630859375,20,10,competence,,random,011,raw
steering,competence,random_012,-0.1,-1.371826171875,-2.11940673828125,-0.6660034179687501,20,10,competence,,random,012,raw
steering,competence,random_012,-0.05,2.7708984375,2.4505810546875,3.0871142578125,20,10,competence,,random,012,raw
steering,competence,random_012,0.0,0.0,0.0,0.0,20,10,competence,,random,012,raw
steering,competence,random_012,0.05,-9.06025390625,-9.53000244140625,-8.577404785156249,20,10,competence,,random,012,raw
steering,competence,random_012,0.1,-7.535546875,-8.1014306640625,-7.057207031250001,20,10,competence,,random,012,raw
steering,competence,random_013,-0.1,5.473828125,4.9093505859375,6.127177734375,20,10,competence,,random,013,raw
steering,competence,random_013,-0.05,0.7038818359375,0.2764428710937501,1.1117651367187498,20,10,competence,,random,013,raw
steering,competence,random_013,0.0,0.0,0.0,0.0,20,10,competence,,random,013,raw
steering,competence,random_013,0.05,0.16171875,-0.21156738281249993,0.5072314453125,20,10,competence,,random,013,raw
steering,competence,random_013,0.1,-6.094921875,-6.618417968749999,-5.599985351562499,20,10,competence,,random,013,raw
steering,competence,random_014,-0.1,-8.051953125,-8.527783203124999,-7.5267236328125,20,10,competence,,random,014,raw
steering,competence,random_014,-0.05,-1.73984375,-2.1264013671875,-1.3226416015625002,20,10,competence,,random,014,raw
steering,competence,random_014,0.0,0.0,0.0,0.0,20,10,competence,,random,014,raw
steering,competence,random_014,0.05,-7.9265625,-8.196181640625,-7.612451171875,20,10,competence,,random,014,raw
steering,competence,random_014,0.1,-0.590234375,-1.089853515625,-0.024877929687500668,20,10,competence,,random,014,raw
steering,competence,random_015,-0.1,-4.21953125,-4.450986328125,-3.9794580078125,20,10,competence,,random,015,raw
steering,competence,random_015,-0.05,0.030078125,-0.2337939453125,0.33302246093749993,20,10,competence,,random,015,raw
steering,competence,random_015,0.0,0.0,0.0,0.0,20,10,competence,,random,015,raw
steering,competence,random_015,0.05,-2.1375,-2.8410839843749995,-1.4851342773437501,20,10,competence,,random,015,raw
steering,competence,random_015,0.1,-9.726806640625,-10.403941650390625,-9.030546874999999,20,10,competence,,random,015,raw
steering,competence,random_016,-0.1,-3.694921875,-4.3012548828125,-3.095888671875,20,10,competence,,random,016,raw
steering,competence,random_016,-0.05,1.834765625,1.45798828125,2.1889648437499996,20,10,competence,,random,016,raw
steering,competence,random_016,0.0,0.0,0.0,0.0,20,10,competence,,random,016,raw
steering,competence,random_016,0.05,-3.6681640625,-3.9980859375,-3.3366699218750004,20,10,competence,,random,016,raw
steering,competence,random_016,0.1,-5.207421875,-6.1720849609375,-4.186494140625,20,10,competence,,random,016,raw
steering,competence,random_017,-0.1,3.523828125,3.2038964843750004,3.8447412109375,20,10,competence,,random,017,raw
steering,competence,random_017,-0.05,3.83287353515625,3.532542419433594,4.126660156249999,20,10,competence,,random,017,raw
steering,competence,random_017,0.0,0.0,0.0,0.0,20,10,competence,,random,017,raw
steering,competence,random_017,0.05,5.2654296875,4.9446142578125,5.582514648437499,20,10,competence,,random,017,raw
steering,competence,random_017,0.1,1.230078125,0.6693212890625,1.756064453125,20,10,competence,,random,017,raw
steering,competence,random_018,-0.1,6.342578125,5.404692382812501,7.2555078124999985,20,10,competence,,random,018,raw
steering,competence,random_018,-0.05,0.403515625,0.011079101562500094,0.7990380859374999,20,10,competence,,random,018,raw
steering,competence,random_018,0.0,0.0,0.0,0.0,20,10,competence,,random,018,raw
steering,competence,random_018,0.05,5.257421875,4.8115234375,5.656474609375,20,10,competence,,random,018,raw
steering,competence,random_018,0.1,0.356640625,-0.07798828124999989,0.9232714843749998,20,10,competence,,random,018,raw
steering,competence,random_019,-0.1,-7.468359375,-8.117021484375,-6.717910156250001,20,10,competence,,random,019,raw
steering,competence,random_019,-0.05,-8.56484375,-9.041640625,-8.118217773437502,20,10,competence,,random,019,raw
steering,competence,random_019,0.0,0.0,0.0,0.0,20,10,competence,,random,019,raw
steering,competence,random_019,0.05,-0.090625,-0.4363818359374999,0.2584033203125,20,10,competence,,random,019,raw
steering,competence,random_019,0.1,-0.644921875,-1.201953125,-0.1815478515625005,20,10,competence,,random,019,raw
steering,competence,random_020,-0.1,-12.8583740234375,-13.497636108398439,-12.320546875,20,10,competence,,random,020,raw
steering,competence,random_020,-0.05,-7.38702392578125,-7.7254223632812495,-7.047136840820313,20,10,competence,,random,020,raw
steering,competence,random_020,0.0,0.0,0.0,0.0,20,10,competence,,random,020,raw
steering,competence,random_020,0.05,-0.4706298828125,-0.8388061523437499,-0.10915710449218761,20,10,competence,,random,020,raw
steering,competence,random_020,0.1,-0.31083984375,-0.9055371093749999,0.22636962890625,20,10,competence,,random,020,raw
steering,competence,random_021,-0.1,-5.128515625,-5.7261962890625,-4.586484375,20,10,competence,,random,021,raw
steering,competence,random_021,-0.05,1.40869140625,1.06483154296875,1.738065185546875,20,10,competence,,random,021,raw
steering,competence,random_021,0.0,0.0,0.0,0.0,20,10,competence,,random,021,raw
steering,competence,random_021,0.05,-4.806005859375,-5.17336181640625,-4.45556396484375,20,10,competence,,random,021,raw
steering,competence,random_021,0.1,0.101953125,-0.3894580078125,0.6207812499999996,20,10,competence,,random,021,raw
steering,competence,random_022,-0.1,2.783984375,2.2425,3.3808007812499996,20,10,competence,,random,022,raw
steering,competence,random_022,-0.05,-1.0425689697265625,-1.2934832000732421,-0.8386643218994141,20,10,competence,,random,022,raw
steering,competence,random_022,0.0,0.0,0.0,0.0,20,10,competence,,random,022,raw
steering,competence,random_022,0.05,-4.684765625,-5.0986376953125,-4.3040771484375,20,10,competence,,random,022,raw
steering,competence,random_022,0.1,-5.973046875,-6.834404296874999,-5.208896484375001,20,10,competence,,random,022,raw
steering,competence,random_023,-0.1,-5.584326171875,-6.370906982421875,-4.93747314453125,20,10,competence,,random,023,raw
steering,competence,random_023,-0.05,-5.815234375,-6.3554736328125,-5.331376953125,20,10,competence,,random,023,raw
steering,competence,random_023,0.0,0.0,0.0,0.0,20,10,competence,,random,023,raw
steering,competence,random_023,0.05,2.74039306640625,2.28273681640625,3.165585021972656,20,10,competence,,random,023,raw
