mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10,warmth,,accuracy,,denoised
baseline,warmth,high_low_margin_gap,,44.5625,43.91875,45.13125,20,10,warmth,,high_low_margin_gap,,denoised
baseline,competence,accuracy,,1.0,1.0,1.0,20,10,competence,,accuracy,,denoised
baseline,competence,high_low_margin_gap,,42.840625,42.321796875,43.3875,20,10,competence,,high_low_margin_gap,,denoised
steering,competence,competence,-0.1,-0.3359375,-0.484375,-0.2109375,20,10,competence,competence,target,,denoised
steering,competence,competence,-0.05,-0.115625,-0.215625,-0.0171875,20,10,competence,competence,target,,denoised
steering,competence,competence,0.0,0.0,0.0,0.0,20,10,competence,competence,target,,denoised
steering,competence,competence,0.05,0.046875,-0.0046875,0.1,20,10,competence,competence,target,,denoised
steering,competence,competence,0.1,0.071875,0.0234375,0.1375,20,10,competence,competence,target,,denoised
steering,competence,random_000,-0.1,-3.121734619140625,-3.6015887451171875,-2.6549406433105474,20,10,competence,,random,000,denoised
steering,competence,random_000,-0.05,0.0390625,-0.47507812499999985,0.5438281249999996,20,10,competence,,random,000,denoised
steering,competence,random_000,0.0,0.0,0.0,0.0,20,10,competence,,random,000,denoised
steering,competence,random_000,0.05,1.757373046875,1.0239178466796874,2.5740606689453123,20,10,competence,,random,000,denoised
steering,competence,random_000,0.1,0.1905426025390625,-0.8585466766357416,1.1959300231933592,20,10,competence,,random,000,denoised
steering,competence,random_001,-0.1,6.57890625,6.2734375,6.8984375,20,10,competence,,random,001,denoised
steering,competence,random_001,-0.05,7.7441162109375,7.07244140625,8.366473999023437,20,10,competence,,random,001,denoised
steering,competence,random_001,0.0,0.0,0.0,0.0,20,10,competence,,random,001,denoised
steering,competence,random_001,0.05,0.3757080078125,-0.3344598388671875,1.1450195312499996,20,10,competence,,random,001,denoised
steering,competence,random_001,0.1,-3.318212890625,-4.2049450683593745,-2.5732434082031257,20,10,competence,,random,001,denoised
steering,competence,random_002,-0.1,-5.976171875,-6.658818359375,-5.34849365234375,20,10,competence,,random,002,denoised
steering,competence,random_002,-0.05,0.5615234375,-0.13304687499999993,1.1633203124999998,20,10,competence,,random,002,denoised
steering,competence,random_002,0.0,0.0,0.0,0.0,20,10,competence,,random,002,denoised
steering,competence,random_002,0.05,-8.5002197265625,-9.271084594726563,-7.667812500000001,20,10,competence,,random,002,denoised
steering,competence,random_002,0.1,-7.45625,-8.519619140625,-6.480849609374999,20,10,competence,,random,002,denoised
steering,competence,random_003,-0.1,-6.15992431640625,-6.638294982910157,-5.6278598022460935,20,10,competence,,random,003,denoised
steering,competence,random_003,-0.05,2.562109375,1.9178027343750004,3.272265624999998,20,10,competence,,random,003,denoised
steering,competence,random_003,0.0,0.0,0.0,0.0,20,10,competence,,random,003,denoised
steering,competence,random_003,0.05,4.7318359375,4.0753271484375,5.464165039062499,20,10,competence,,random,003,denoised
steering,competence,random_003,0.1,0.23900146484375,-0.7848516845703125,1.3247119140624999,20,10,competence,,random,003,denoised
steering,competence,random_004,-0.1,6.9056640625,5.9930615234375,7.873461914062499,20,10,competence,,random,004,denoised
steering,competence,random_004,-0.05,1.965380859375,0.91259765625,2.966884765624999,20,10,competence,,random,004,denoised
steering,competence,random_004,0.0,0.0,0.0,0.0,20,10,competence,,random,004,denoised
steering,competence,random_004,0.05,-2.95596923828125,-3.5274554443359376,-2.2976095581054685,20,10,competence,,random,004,denoised
steering,competence,random_004,0.1,-3.0453125,-3.525,-2.4967968750000007,20,10,competence,,random,004,denoised
