mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10
baseline,warmth,high_low_margin_gap,,9.00625,8.08109375,9.75015625,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,7.70625,7.1375,8.20625,20,10
steering,competence,random,-0.1,0.078125,0.046875,0.1125,20,10
steering,competence,random,-0.05,0.021875,-0.009453124999999863,0.056328124999999576,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.05,-0.0375,-0.065625,-0.0125,20,10
steering,competence,random,0.1,-0.121875,-0.1375,-0.10625,20,10
steering,competence,raw_dense,-0.1,-0.103125,-0.121875,-0.08125,20,10
steering,competence,raw_dense,-0.05,-0.084375,-0.1,-0.06875,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.05,0.075,0.034375,0.109375,20,10
steering,competence,raw_dense,0.1,0.18125,0.13125,0.225,20,10
steering,warmth,random,-0.1,-0.0125,-0.040625,0.015625,20,10
steering,warmth,random,-0.05,0.009375,-0.025,0.0375,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.05,0.0375,0.00625,0.075,20,10
steering,warmth,random,0.1,0.0625,0.025,0.103125,20,10
steering,warmth,raw_dense,-0.1,-0.23125,-0.259375,-0.2,20,10
steering,warmth,raw_dense,-0.05,-0.11875,-0.134375,-0.10304687500000043,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.05,0.121875,0.090625,0.15625,20,10
steering,warmth,raw_dense,0.1,0.259375,0.215625,0.3,20,10
