mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,competence,-0.1,-0.078125,-0.25,0.125,8,additive,sd_matched,4.174472562032734,-7.190372467041016,-1.722462505188849,0.017370132729411125
steering,competence,competence,-0.1,-0.0625,-0.25,0.1875,8,norm_preserving,sd_matched,4.174472562032734,-7.190372467041016,-1.722462505188849,0.005168675910681486
steering,competence,competence,-0.05,-0.03125,-0.140625,0.078125,8,additive,sd_matched,4.174472562032734,-3.595186233520508,-0.8612312525944245,0.007308661006391048
steering,competence,competence,-0.05,-0.015625,-0.09375,0.078125,8,norm_preserving,sd_matched,4.174472562032734,-3.595186233520508,-0.8612312525944245,0.004467038903385401
steering,competence,competence,0.0,0.0,0.0,0.0,8,additive,sd_matched,4.174472562032734,0.0,0.0,0.0
steering,competence,competence,0.0,0.0,0.0,0.0,8,norm_preserving,sd_matched,4.174472562032734,0.0,0.0,0.0
steering,competence,competence,0.05,0.0,-0.046875,0.046875,8,additive,sd_matched,4.174472562032734,3.595186233520508,0.8612312525944245,0.00918488297611475
steering,competence,competence,0.05,0.0,-0.046875,0.046875,8,norm_preserving,sd_matched,4.174472562032734,3.595186233520508,0.8612312525944245,0.004710047505795956
steering,competence,competence,0.1,0.15625,0.09375,0.21875,8,additive,sd_matched,4.174472562032734,7.190372467041016,1.722462505188849,0.02294182777404785
steering,competence,competence,0.1,0.109375,0.0625,0.15625,8,norm_preserving,sd_matched,4.174472562032734,7.190372467041016,1.722462505188849,0.004662608727812767
steering,competence,random_000,-0.1,0.03125,0.0,0.0625,8,additive,sd_matched,0.23091699014987102,-0.3977458573442156,-1.722462505188849,0.00011417687346693128
steering,competence,random_000,-0.1,0.03125,0.0,0.0625,8,norm_preserving,sd_matched,0.23091699014987102,-0.3977458573442156,-1.722462505188849,0.00011417687346693128
steering,competence,random_000,-0.05,0.046875,-0.03125,0.109375,8,additive,sd_matched,0.23091699014987102,-0.1988729286721078,-0.8612312525944245,6.284451956162229e-05
steering,competence,random_000,-0.05,0.046875,-0.03125,0.109375,8,norm_preserving,sd_matched,0.23091699014987102,-0.1988729286721078,-0.8612312525944245,6.284451956162229e-05
steering,competence,random_000,0.0,0.0,0.0,0.0,8,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0
steering,competence,random_000,0.0,0.0,0.0,0.0,8,norm_preserving,sd_matched,0.23091699014987102,0.0,0.0,0.0
steering,competence,random_000,0.05,-0.015625,-0.09375,0.078125,8,additive,sd_matched,0.23091699014987102,0.1988729286721078,0.8612312525944245,5.664615673595108e-05
steering,competence,random_000,0.05,-0.015625,-0.09375,0.078125,8,norm_preserving,sd_matched,0.23091699014987102,0.1988729286721078,0.8612312525944245,5.664615673595108e-05
steering,competence,random_000,0.1,-0.015625,-0.046875,0.0,8,additive,sd_matched,0.23091699014987102,0.3977458573442156,1.722462505188849,0.00011920445831492543
steering,competence,random_000,0.1,-0.015625,-0.046875,0.0,8,norm_preserving,sd_matched,0.23091699014987102,0.3977458573442156,1.722462505188849,0.00011920445831492543
steering,competence,random_001,-0.1,0.0625,0.0,0.125,8,additive,sd_matched,0.20470869257375143,-0.3526030474445178,-1.722462505188849,0.0002640443271957338
steering,competence,random_001,-0.1,0.0625,0.0,0.125,8,norm_preserving,sd_matched,0.20470869257375143,-0.3526030474445178,-1.722462505188849,0.0002640443271957338
