mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,competence,-0.1,-0.44375,-0.7,-0.225,20,additive,sd_matched,4.152027283659681,-7.190372467041016,-1.7317738964141092,0.017256030812859535
steering,competence,competence,-0.1,-0.45625,-0.7125,-0.24375,20,norm_preserving,sd_matched,4.152027283659681,-7.190372467041016,-1.7317738964141092,0.005554352421313524
steering,competence,competence,-0.05,-0.15,-0.2875,-0.04359375000000085,20,additive,sd_matched,4.152027283659681,-3.595186233520508,-0.8658869482070546,0.009983936324715614
steering,competence,competence,-0.05,-0.18125,-0.3375,-0.0625,20,norm_preserving,sd_matched,4.152027283659681,-3.595186233520508,-0.8658869482070546,0.004758512135595083
steering,competence,competence,0.0,0.0,0.0,0.0,20,additive,sd_matched,4.152027283659681,0.0,0.0,0.0
steering,competence,competence,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,4.152027283659681,0.0,0.0,0.0
steering,competence,competence,0.05,0.10625,0.025,0.2125,20,additive,sd_matched,4.152027283659681,3.595186233520508,0.8658869482070546,0.012071946635842323
steering,competence,competence,0.05,0.14375,0.05,0.2625,20,norm_preserving,sd_matched,4.152027283659681,3.595186233520508,0.8658869482070546,0.004714841954410076
steering,competence,competence,0.1,0.30625,0.175,0.48140624999999915,20,additive,sd_matched,4.152027283659681,7.190372467041016,1.7317738964141092,0.023744357749819756
steering,competence,competence,0.1,0.26875,0.11859375000000028,0.4564062499999991,20,norm_preserving,sd_matched,4.152027283659681,7.190372467041016,1.7317738964141092,0.005354769062250853
steering,competence,random_000,-0.1,0.01875,-0.0125,0.05625,20,additive,sd_matched,0.22662203041012197,-0.3924581166166137,-1.7317738964141092,0.0001368190860375762
steering,competence,random_000,-0.1,0.01875,-0.0125,0.05625,20,norm_preserving,sd_matched,0.22662203041012197,-0.3924581166166137,-1.7317738964141092,0.0001368190860375762
steering,competence,random_000,-0.05,0.00625,-0.03125,0.04390624999999915,20,additive,sd_matched,0.22662203041012197,-0.19622905830830684,-0.8658869482070546,5.958832480246201e-05
steering,competence,random_000,-0.05,0.00625,-0.03125,0.04390624999999915,20,norm_preserving,sd_matched,0.22662203041012197,-0.19622905830830684,-0.8658869482070546,5.958832480246201e-05
steering,competence,random_000,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.22662203041012197,0.0,0.0,0.0
steering,competence,random_000,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.22662203041012197,0.0,0.0,0.0
steering,competence,random_000,0.05,-0.03125,-0.05625,-0.00625,20,additive,sd_matched,0.22662203041012197,0.19622905830830684,0.8658869482070546,5.2838520787190646e-05
steering,competence,random_000,0.05,-0.03125,-0.05625,-0.00625,20,norm_preserving,sd_matched,0.22662203041012197,0.19622905830830684,0.8658869482070546,5.2838520787190646e-05
steering,competence,random_000,0.1,0.0,-0.025,0.025,20,additive,sd_matched,0.22662203041012197,0.3924581166166137,1.7317738964141092,0.0001337211433565244
steering,competence,random_000,0.1,0.0,-0.025,0.025,20,norm_preserving,sd_matched,0.22662203041012197,0.3924581166166137,1.7317738964141092,0.0001337211433565244
steering,competence,random_001,-0.1,0.03125,0.0,0.0625,20,additive,sd_matched,0.2022157025494329,-0.35019187512014793,-1.7317738964141092,0.00026976584922522306
steering,competence,random_001,-0.1,0.03125,0.0,0.0625,20,norm_preserving,sd_matched,0.2022157025494329,-0.35019187512014793,-1.7317738964141092,0.00026976584922522306
steering,competence,random_001,-0.05,0.00625,-0.01875,0.03125,20,additive,sd_matched,0.2022157025494329,-0.17509593756007397,-0.8658869482070546,6.209409184521064e-05
steering,competence,random_001,-0.05,0.00625,-0.01875,0.03125,20,norm_preserving,sd_matched,0.2022157025494329,-0.17509593756007397,-0.8658869482070546,6.209409184521064e-05
steering,competence,random_001,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2022157025494329,0.0,0.0,0.0
steering,competence,random_001,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2022157025494329,0.0,0.0,0.0
steering,competence,random_001,0.05,0.01875,-0.01875,0.05625,20,additive,sd_matched,0.2022157025494329,0.17509593756007397,0.8658869482070546,5.995291576255113e-05
steering,competence,random_001,0.05,0.01875,-0.01875,0.05625,20,norm_preserving,sd_matched,0.2022157025494329,0.17509593756007397,0.8658869482070546,5.995291576255113e-05
steering,competence,random_001,0.1,-0.0125,-0.05625,0.04375,20,additive,sd_matched,0.2022157025494329,0.35019187512014793,1.7317738964141092,0.00024879546253941953
steering,competence,random_001,0.1,-0.0125,-0.05625,0.04375,20,norm_preserving,sd_matched,0.2022157025494329,0.35019187512014793,1.7317738964141092,0.00024879546253941953
steering,competence,random_002,-0.1,0.01875,-0.0125,0.05625,20,additive,sd_matched,0.2058760550988133,-0.3565307781168377,-1.731773896414109,0.00013608092558570206
steering,competence,random_002,-0.1,0.01875,-0.0125,0.05625,20,norm_preserving,sd_matched,0.2058760550988133,-0.3565307781168377,-1.731773896414109,0.00013608092558570206
steering,competence,random_002,-0.05,0.03125,-0.01875,0.08125,20,additive,sd_matched,0.2058760550988133,-0.17826538905841885,-0.8658869482070545,5.38538588443771e-05
steering,competence,random_002,-0.05,0.03125,-0.01875,0.08125,20,norm_preserving,sd_matched,0.2058760550988133,-0.17826538905841885,-0.8658869482070545,5.38538588443771e-05
steering,competence,random_002,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2058760550988133,0.0,0.0,0.0
steering,competence,random_002,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2058760550988133,0.0,0.0,0.0
steering,competence,random_002,0.05,0.00625,-0.03125,0.04375,20,additive,sd_matched,0.2058760550988133,0.17826538905841885,0.8658869482070545,5.043817873229273e-05
steering,competence,random_002,0.05,0.00625,-0.03125,0.04375,20,norm_preserving,sd_matched,0.2058760550988133,0.17826538905841885,0.8658869482070545,5.043817873229273e-05
steering,competence,random_002,0.1,0.0,-0.05,0.05,20,additive,sd_matched,0.2058760550988133,0.3565307781168377,1.731773896414109,0.00012233889719936997
steering,competence,random_002,0.1,0.0,-0.05,0.05,20,norm_preserving,sd_matched,0.2058760550988133,0.3565307781168377,1.731773896414109,0.00012233889719936997
steering,competence,random_003,-0.1,0.025,0.0,0.05,20,additive,sd_matched,0.17549938712102664,-0.30392525745286847,-1.7317738964141094,0.00010224962898064405
steering,competence,random_003,-0.1,0.025,0.0,0.05,20,norm_preserving,sd_matched,0.17549938712102664,-0.30392525745286847,-1.7317738964141094,0.00010224962898064405
steering,competence,random_003,-0.05,0.01875,-0.01875,0.05625,20,additive,sd_matched,0.17549938712102664,-0.15196262872643423,-0.8658869482070547,5.394432446337305e-05
steering,competence,random_003,-0.05,0.01875,-0.01875,0.05625,20,norm_preserving,sd_matched,0.17549938712102664,-0.15196262872643423,-0.8658869482070547,5.394432446337305e-05
steering,competence,random_003,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.17549938712102664,0.0,0.0,0.0
steering,competence,random_003,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.17549938712102664,0.0,0.0,0.0
steering,competence,random_003,0.05,0.0,-0.031406249999999726,0.0375,20,additive,sd_matched,0.17549938712102664,0.15196262872643423,0.8658869482070547,5.463518391479738e-05
steering,competence,random_003,0.05,0.0,-0.031406249999999726,0.0375,20,norm_preserving,sd_matched,0.17549938712102664,0.15196262872643423,0.8658869482070547,5.463518391479738e-05
steering,competence,random_003,0.1,0.00625,-0.0375,0.0625,20,additive,sd_matched,0.17549938712102664,0.30392525745286847,1.7317738964141094,0.00010689016926335171
steering,competence,random_003,0.1,0.00625,-0.0375,0.0625,20,norm_preserving,sd_matched,0.17549938712102664,0.30392525745286847,1.7317738964141094,0.00010689016926335171
steering,competence,random_004,-0.1,0.0,-0.03125,0.0375,20,additive,sd_matched,0.20834708081856756,-0.36081003595567607,-1.7317738964141092,0.00017560111882630736
steering,competence,random_004,-0.1,0.0,-0.03125,0.0375,20,norm_preserving,sd_matched,0.20834708081856756,-0.36081003595567607,-1.7317738964141092,0.00017560111882630736
steering,competence,random_004,-0.05,0.01875,-0.01875,0.05625,20,additive,sd_matched,0.20834708081856756,-0.18040501797783803,-0.8658869482070546,6.293750629993156e-05
