mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,competence,-0.1,-1.41875,-1.64375,-1.21875,20,additive,sd_matched,0.2654236423412318,-0.355557131767273,-1.3395834999135627,0.02104390785098076
steering,competence,competence,-0.1,-1.44375,-1.6625,-1.2375,20,norm_preserving,sd_matched,0.2654236423412318,-0.355557131767273,-1.3395834999135627,0.005055494140833616
steering,competence,competence,-0.05,-0.8,-0.9625,-0.65625,20,additive,sd_matched,0.2654236423412318,-0.1777785658836365,-0.6697917499567814,0.011229893192648888
steering,competence,competence,-0.05,-0.85,-0.9625,-0.7625,20,norm_preserving,sd_matched,0.2654236423412318,-0.1777785658836365,-0.6697917499567814,0.005165585782378912
steering,competence,competence,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.2654236423412318,0.0,0.0,0.0
steering,competence,competence,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.2654236423412318,0.0,0.0,0.0
steering,competence,competence,0.05,0.6875,0.58125,0.8125,20,additive,sd_matched,0.2654236423412318,0.1777785658836365,0.6697917499567814,0.012963462620973587
steering,competence,competence,0.05,0.7125,0.5875,0.84375,20,norm_preserving,sd_matched,0.2654236423412318,0.1777785658836365,0.6697917499567814,0.004785527940839529
steering,competence,competence,0.1,1.45,1.2875,1.6375,20,additive,sd_matched,0.2654236423412318,0.355557131767273,1.3395834999135627,0.02801615372300148
steering,competence,competence,0.1,1.425,1.275,1.6,20,norm_preserving,sd_matched,0.2654236423412318,0.355557131767273,1.3395834999135627,0.004154963884502649
steering,competence,random_000,-0.1,-0.04375,-0.08125,-0.00625,20,additive,sd_matched,0.018415212956367704,-0.024668715423744637,-1.3395834999135627,0.0004070372960995883
steering,competence,random_000,-0.1,-0.04375,-0.08125,-0.00625,20,norm_preserving,sd_matched,0.018415212956367704,-0.024668715423744637,-1.3395834999135627,0.0004070372960995883
steering,competence,random_000,-0.05,0.0125,-0.04375,0.075,20,additive,sd_matched,0.018415212956367704,-0.012334357711872319,-0.6697917499567814,0.00014358283078763634
steering,competence,random_000,-0.05,0.0125,-0.04375,0.075,20,norm_preserving,sd_matched,0.018415212956367704,-0.012334357711872319,-0.6697917499567814,0.00014358283078763634
steering,competence,random_000,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.018415212956367704,0.0,0.0,0.0
steering,competence,random_000,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.018415212956367704,0.0,0.0,0.0
steering,competence,random_000,0.05,-0.03125,-0.0625,-0.00625,20,additive,sd_matched,0.018415212956367704,0.012334357711872319,0.6697917499567814,0.00013265927555039525
steering,competence,random_000,0.05,-0.03125,-0.0625,-0.00625,20,norm_preserving,sd_matched,0.018415212956367704,0.012334357711872319,0.6697917499567814,0.00013265927555039525
steering,competence,random_000,0.1,-0.0625,-0.16265624999999972,0.025,20,additive,sd_matched,0.018415212956367704,0.024668715423744637,1.3395834999135627,0.0003626698744483292
steering,competence,random_000,0.1,-0.0625,-0.16265624999999972,0.025,20,norm_preserving,sd_matched,0.018415212956367704,0.024668715423744637,1.3395834999135627,0.0003626698744483292
