mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,0.95,0.85,1.0,20,10
baseline,warmth,high_low_margin_gap,,9.9125,8.4625,10.875,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,10.75,9.825,11.6,20,10
steering,competence,random,-0.1,-0.11875,-0.19375,-0.05,20,10
steering,competence,random,-0.05,-0.01875,-0.08125,0.0375,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.05,0.1,0.03125,0.16265624999999914,20,10
steering,competence,random,0.1,0.171875,0.09375,0.24375,20,10
steering,competence,raw_dense,-0.1,-0.7625,-0.8875,-0.64375,20,10
steering,competence,raw_dense,-0.05,-0.46875,-0.58125,-0.36234375000000085,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.05,0.50625,0.425,0.58125,20,10
steering,competence,raw_dense,0.1,1.10625,1.0060937500000005,1.21875,20,10
steering,warmth,random,-0.1,0.24375,0.16875,0.325,20,10
steering,warmth,random,-0.05,0.1375,0.0875,0.18125,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.05,-0.04375,-0.10625,0.0125,20,10
steering,warmth,random,0.1,-0.04375,-0.10625,0.01875,20,10
steering,warmth,raw_dense,-0.1,-0.7,-0.85,-0.5625,20,10
steering,warmth,raw_dense,-0.05,-0.41875,-0.49375,-0.34375,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.05,0.58125,0.46875,0.68125,20,10
steering,warmth,raw_dense,0.1,1.2375,1.09375,1.3625,20,10
