mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
baseline,warmth,high_warmth_t019_s00004,19,high_warmth,1,baseline,0.0,17.80078125,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,17.76171875,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,18.2626953125,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t035_s00092,35,high_warmth,1,baseline,0.0,18.71875,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t056_s00128,56,high_warmth,1,baseline,0.0,18.482421875,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t057_s00132,57,high_warmth,1,baseline,0.0,17.359375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t066_s00140,66,high_warmth,1,baseline,0.0,18.462890625,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t078_s00164,78,high_warmth,1,baseline,0.0,18.591064453125,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t079_s00168,79,high_warmth,1,baseline,0.0,16.84375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t097_s00196,97,high_warmth,1,baseline,0.0,18.6328125,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t019_s00005,19,low_warmth,0,baseline,0.0,-22.09375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-22.0625,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-22.34375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t035_s00093,35,low_warmth,0,baseline,0.0,-19.625,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
