mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,high_warmth_t019_s00004,19,high_warmth,1,baseline,0.0,17.8623046875,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,17.7578125,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,18.20703125,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t035_s00092,35,high_warmth,1,baseline,0.0,18.78515625,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t056_s00128,56,high_warmth,1,baseline,0.0,18.396484375,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t057_s00132,57,high_warmth,1,baseline,0.0,17.578125,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t066_s00140,66,high_warmth,1,baseline,0.0,18.4970703125,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t078_s00164,78,high_warmth,1,baseline,0.0,18.3599853515625,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t079_s00168,79,high_warmth,1,baseline,0.0,17.02734375,0.0,warmth,,baseline,,denoised
baseline,warmth,high_warmth_t097_s00196,97,high_warmth,1,baseline,0.0,18.87109375,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t019_s00005,19,low_warmth,0,baseline,0.0,-21.65625,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-22.09375,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-22.25,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t035_s00093,35,low_warmth,0,baseline,0.0,-19.765625,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t056_s00129,56,low_warmth,0,baseline,0.0,-22.5625,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t057_s00133,57,low_warmth,0,baseline,0.0,-22.71875,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t066_s00141,66,low_warmth,0,baseline,0.0,-22.875,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t078_s00165,78,low_warmth,0,baseline,0.0,-23.125,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t079_s00169,79,low_warmth,0,baseline,0.0,-22.03125,0.0,warmth,,baseline,,denoised
baseline,warmth,low_warmth_t097_s00197,97,low_warmth,0,baseline,0.0,-22.6875,0.0,warmth,,baseline,,denoised
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,-0.1,15.5625,-2.2998046875,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.1,15.421875,-2.3359375,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.1,15.671875,-2.53515625,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,-0.1,16.171875,-2.61328125,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,-0.1,15.625,-2.771484375,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,-0.1,14.375,-3.203125,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,-0.1,15.453125,-3.0439453125,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,-0.1,15.84375,-2.5162353515625,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.1,14.21875,-2.80859375,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.1,16.09375,-2.77734375,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.1,-21.53125,0.125,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.1,-21.46875,0.625,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.1,-22.03125,0.21875,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,-0.1,-19.0625,0.703125,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,-0.1,-22.03125,0.53125,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,-0.1,-22.40625,0.3125,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,-0.1,-22.875,0.0,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,-0.1,-22.46875,0.65625,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,-0.1,-21.65625,0.375,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,-0.1,-21.9375,0.75,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,-0.05,17.0,-0.8623046875,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.05,16.7578125,-1.0,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.05,17.109375,-1.09765625,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,-0.05,17.703125,-1.08203125,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,-0.05,17.0,-1.396484375,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,-0.05,15.984375,-1.59375,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,-0.05,17.09375,-1.4033203125,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,-0.05,17.1796875,-1.1802978515625,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.05,15.765625,-1.26171875,warmth,warmth,target,,denoised
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.05,17.4296875,-1.44140625,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.05,-21.875,-0.21875,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.05,-22.09375,0.0,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.05,-22.53125,-0.28125,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,-0.05,-19.9375,-0.171875,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,-0.05,-22.59375,-0.03125,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,-0.05,-22.90625,-0.1875,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,-0.05,-23.5,-0.625,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,-0.05,-23.03125,0.09375,warmth,warmth,target,,denoised
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,-0.05,-22.625,-0.59375,warmth,warmth,target,,denoised
