mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,high_warmth_t019_s00004,19,high_warmth,1,baseline,0.0,17.8623046875,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,17.7578125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,18.20703125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t035_s00092,35,high_warmth,1,baseline,0.0,18.78515625,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t056_s00128,56,high_warmth,1,baseline,0.0,18.396484375,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t057_s00132,57,high_warmth,1,baseline,0.0,17.578125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t066_s00140,66,high_warmth,1,baseline,0.0,18.4970703125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t078_s00164,78,high_warmth,1,baseline,0.0,18.3599853515625,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t079_s00168,79,high_warmth,1,baseline,0.0,17.02734375,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t097_s00196,97,high_warmth,1,baseline,0.0,18.87109375,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t019_s00005,19,low_warmth,0,baseline,0.0,-21.65625,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-22.09375,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-22.25,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t035_s00093,35,low_warmth,0,baseline,0.0,-19.765625,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t056_s00129,56,low_warmth,0,baseline,0.0,-22.5625,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t057_s00133,57,low_warmth,0,baseline,0.0,-22.71875,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t066_s00141,66,low_warmth,0,baseline,0.0,-22.875,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t078_s00165,78,low_warmth,0,baseline,0.0,-23.125,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t079_s00169,79,low_warmth,0,baseline,0.0,-22.03125,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t097_s00197,97,low_warmth,0,baseline,0.0,-22.6875,0.0,warmth,,baseline,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,-0.1,15.484375,-2.3779296875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.1,15.21875,-2.5390625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.1,15.71875,-2.48828125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,-0.1,16.3984375,-2.38671875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,-0.1,15.734375,-2.662109375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,-0.1,14.546875,-3.03125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,-0.1,15.71875,-2.7783203125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,-0.1,15.9375,-2.4224853515625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.1,14.15625,-2.87109375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.1,15.921875,-2.94921875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.1,-21.625,0.03125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.1,-21.65625,0.4375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.1,-21.875,0.375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,-0.1,-18.984375,0.78125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,-0.1,-21.96875,0.59375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,-0.1,-22.09375,0.625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,-0.1,-22.65625,0.21875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,-0.1,-22.28125,0.84375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,-0.1,-21.84375,0.1875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,-0.1,-21.90625,0.78125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,-0.05,16.8671875,-0.9951171875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.05,16.5625,-1.1953125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.05,16.8671875,-1.33984375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,-0.05,17.68359375,-1.1015625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,-0.05,17.375,-1.021484375,warmth,warmth,target,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,-0.05,16.125,-1.453125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,-0.05,17.3203125,-1.1767578125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,-0.05,17.015625,-1.3443603515625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.05,15.609375,-1.41796875,warmth,warmth,target,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.05,17.4921875,-1.37890625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.05,-22.0,-0.34375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.05,-22.21875,-0.125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.05,-22.46875,-0.21875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,-0.05,-20.0,-0.234375,warmth,warmth,target,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,-0.05,-22.75,-0.1875,warmth,warmth,target,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,-0.05,-22.96875,-0.25,warmth,warmth,target,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,-0.05,-23.5,-0.625,warmth,warmth,target,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,-0.05,-23.09375,0.03125,warmth,warmth,target,,raw
