mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
baseline,warmth,high_warmth_t019_s00004,19,high_warmth,1,baseline,0.0,23.125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,21.8125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,22.3125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t035_s00092,35,high_warmth,1,baseline,0.0,22.0,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t056_s00128,56,high_warmth,1,baseline,0.0,21.625,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t057_s00132,57,high_warmth,1,baseline,0.0,21.0,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t066_s00140,66,high_warmth,1,baseline,0.0,21.9375,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t078_s00164,78,high_warmth,1,baseline,0.0,21.9375,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t079_s00168,79,high_warmth,1,baseline,0.0,21.8125,0.0,warmth,,baseline,,raw
baseline,warmth,high_warmth_t097_s00196,97,high_warmth,1,baseline,0.0,22.125,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t019_s00005,19,low_warmth,0,baseline,0.0,-22.9375,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-22.5,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-22.9375,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t035_s00093,35,low_warmth,0,baseline,0.0,-20.4375,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t056_s00129,56,low_warmth,0,baseline,0.0,-23.1875,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t057_s00133,57,low_warmth,0,baseline,0.0,-22.6875,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t066_s00141,66,low_warmth,0,baseline,0.0,-22.9375,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t078_s00165,78,low_warmth,0,baseline,0.0,-22.0,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t079_s00169,79,low_warmth,0,baseline,0.0,-23.125,0.0,warmth,,baseline,,raw
baseline,warmth,low_warmth_t097_s00197,97,low_warmth,0,baseline,0.0,-23.1875,0.0,warmth,,baseline,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,warmth,-0.1,22.875,-0.25,warmth,warmth,target,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.1,21.75,-0.0625,warmth,warmth,target,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.1,21.8125,-0.5,warmth,warmth,target,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,warmth,-0.1,22.125,0.125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,warmth,-0.1,21.625,0.0,warmth,warmth,target,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,warmth,-0.1,20.6875,-0.3125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,warmth,-0.1,21.9375,0.0,warmth,warmth,target,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,warmth,-0.1,21.625,-0.3125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,warmth,-0.1,21.6875,-0.125,warmth,warmth,target,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,warmth,-0.1,21.8125,-0.3125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,-0.1,-23.0625,-0.125,warmth,warmth,target,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.1,-22.6875,-0.1875,warmth,warmth,target,,raw
