alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.8125,0.0,baseline,,0.0,,high_warmth_t019_s00004,0.0,19,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,24.375,0.0,baseline,,0.0,,high_warmth_t003_s00028,0.0,3,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.25,0.0,baseline,,0.0,,high_warmth_t008_s00048,0.0,8,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.3125,0.0,baseline,,0.0,,high_warmth_t035_s00092,0.0,35,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.6875,0.0,baseline,,0.0,,high_warmth_t056_s00128,0.0,56,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,25.875,0.0,baseline,,0.0,,high_warmth_t057_s00132,0.0,57,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.875,0.0,baseline,,0.0,,high_warmth_t066_s00140,0.0,66,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.59375,0.0,baseline,,0.0,,high_warmth_t078_s00164,0.0,78,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.5,0.0,baseline,,0.0,,high_warmth_t079_s00168,0.0,79,raw
0.0,warmth,high_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,1,26.46875,0.0,baseline,,0.0,,high_warmth_t097_s00196,0.0,97,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.84375,0.0,baseline,,0.0,,low_warmth_t019_s00005,0.0,19,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.5,0.0,baseline,,0.0,,low_warmth_t003_s00029,0.0,3,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.96875,0.0,baseline,,0.0,,low_warmth_t008_s00049,0.0,8,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.5,0.0,baseline,,0.0,,low_warmth_t035_s00093,0.0,35,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.625,0.0,baseline,,0.0,,low_warmth_t056_s00129,0.0,56,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.40625,0.0,baseline,,0.0,,low_warmth_t057_s00133,0.0,57,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-26.125,0.0,baseline,,0.0,,low_warmth_t066_s00141,0.0,66,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.9375,0.0,baseline,,0.0,,low_warmth_t078_s00165,0.0,78,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-24.875,0.0,baseline,,0.0,,low_warmth_t079_s00169,0.0,79,raw
0.0,warmth,low_warmth,sd_matched,False,0.0,baseline,,baseline,baseline,warmth,0,-25.59375,0.0,baseline,,0.0,,low_warmth_t097_s00197,0.0,97,raw
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.4375,warmth,5.439453029132101,target,additive,warmth,1,25.375,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t019_s00004,-0.1,19,raw
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.890625,warmth,5.439453029132101,target,additive,warmth,1,22.484375,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t003_s00028,-0.1,3,raw
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.3125,warmth,5.439453029132101,target,additive,warmth,1,24.9375,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t008_s00048,-0.1,8,raw
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.5625,warmth,5.439453029132101,target,additive,warmth,1,24.75,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t035_s00092,-0.1,35,raw
-18.85252685546875,warmth,high_warmth,sd_matched,False,-1.375,warmth,5.439453029132101,target,additive,warmth,1,25.3125,0.02297270856797695,steering,,-3.4658865063270508,warmth,high_warmth_t056_s00128,-0.1,56,raw
