mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin
baseline,warmth,high_warmth_t019_s00004,19,high_warmth,1,baseline,0.0,4.125,0.0
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,1.875,0.0
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,3.5,0.0
baseline,warmth,high_warmth_t035_s00092,35,high_warmth,1,baseline,0.0,3.25,0.0
baseline,warmth,high_warmth_t056_s00128,56,high_warmth,1,baseline,0.0,1.875,0.0
baseline,warmth,high_warmth_t057_s00132,57,high_warmth,1,baseline,0.0,3.875,0.0
baseline,warmth,high_warmth_t066_s00140,66,high_warmth,1,baseline,0.0,3.8125,0.0
baseline,warmth,high_warmth_t078_s00164,78,high_warmth,1,baseline,0.0,3.0,0.0
baseline,warmth,high_warmth_t079_s00168,79,high_warmth,1,baseline,0.0,2.375,0.0
baseline,warmth,high_warmth_t097_s00196,97,high_warmth,1,baseline,0.0,3.25,0.0
baseline,warmth,low_warmth_t019_s00005,19,low_warmth,0,baseline,0.0,-4.625,0.0
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-4.25,0.0
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-6.75,0.0
baseline,warmth,low_warmth_t035_s00093,35,low_warmth,0,baseline,0.0,-5.625,0.0
baseline,warmth,low_warmth_t056_s00129,56,low_warmth,0,baseline,0.0,-5.125,0.0
baseline,warmth,low_warmth_t057_s00133,57,low_warmth,0,baseline,0.0,-6.5625,0.0
baseline,warmth,low_warmth_t066_s00141,66,low_warmth,0,baseline,0.0,-5.75,0.0
baseline,warmth,low_warmth_t078_s00165,78,low_warmth,0,baseline,0.0,-6.8125,0.0
baseline,warmth,low_warmth_t079_s00169,79,low_warmth,0,baseline,0.0,-7.0625,0.0
baseline,warmth,low_warmth_t097_s00197,97,low_warmth,0,baseline,0.0,-6.5625,0.0
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,raw_dense,-0.1,3.9375,-0.1875
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,raw_dense,-0.1,1.625,-0.25
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,-0.1,3.25,-0.25
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,-0.1,2.875,-0.375
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,-0.1,1.625,-0.25
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,-0.1,3.5,-0.375
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,-0.1,3.5,-0.3125
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,-0.1,2.75,-0.25
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,-0.1,2.125,-0.25
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,raw_dense,-0.1,2.875,-0.375
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,-0.1,-4.8125,-0.1875
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,-0.1,-4.375,-0.125
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,raw_dense,-0.1,-6.75,0.0
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,raw_dense,-0.1,-5.8125,-0.1875
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,raw_dense,-0.1,-5.375,-0.25
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,raw_dense,-0.1,-6.75,-0.1875
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,raw_dense,-0.1,-6.0,-0.25
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,raw_dense,-0.1,-7.0625,-0.25
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,raw_dense,-0.1,-7.25,-0.1875
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,raw_dense,-0.1,-6.6875,-0.125
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,raw_dense,-0.05,4.0,-0.125
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,raw_dense,-0.05,1.75,-0.125
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,raw_dense,-0.05,3.375,-0.125
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,raw_dense,-0.05,3.0,-0.25
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,raw_dense,-0.05,1.75,-0.125
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,raw_dense,-0.05,3.6875,-0.1875
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,raw_dense,-0.05,3.625,-0.1875
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,raw_dense,-0.05,2.875,-0.125
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,raw_dense,-0.05,2.25,-0.125
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,raw_dense,-0.05,3.125,-0.125
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,raw_dense,-0.05,-4.75,-0.125
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,raw_dense,-0.05,-4.25,0.0
