mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
baseline,warmth,high_warmth_t003_s00028,3,high_warmth,1,baseline,0.0,10.125,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t008_s00048,8,high_warmth,1,baseline,0.0,10.375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t015_s00060,15,high_warmth,1,baseline,0.0,10.75,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,high_warmth_t049_s00120,49,high_warmth,1,baseline,0.0,9.375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t003_s00029,3,low_warmth,0,baseline,0.0,-8.375,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t008_s00049,8,low_warmth,0,baseline,0.0,-9.125,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t015_s00061,15,low_warmth,0,baseline,0.0,-9.5,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
baseline,warmth,low_warmth_t049_s00121,49,low_warmth,0,baseline,0.0,-8.875,0.0,warmth,,baseline,,raw,baseline,sd_matched,,0.0,0.0,0.0,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.1,8.625,-1.5,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.013409454375505447,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.1,9.25,-1.125,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,warmth,-0.1,9.875,-0.875,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,warmth,-0.1,7.0,-2.375,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.1,-8.5,-0.125,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.1,-9.375,-0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
